# R  g_LO
3.270989286766126103e+00 -5.071337830284861764e-02
3.082278366375772904e+00 -5.400586343843528925e-02
2.914154091846184791e+00 -5.662260806055057633e-02
2.763421983647244229e+00 -5.851183353887982885e-02
2.627515984451477937e+00 -5.989530340839475248e-02
2.504351172680315152e+00 -6.096386337957582918e-02
2.392216045545375813e+00 -6.167371299872714124e-02
2.289692500736288494e+00 -6.185457064345366296e-02
2.195595548651235074e+00 -6.136647879443560272e-02
2.108927303309739099e+00 -6.017888838420346054e-02
2.028841456348609906e+00 -5.834615899123984928e-02
1.954615549409026487e+00 -5.592245448193559898e-02
1.885629118253413949e+00 -5.291849176342097033e-02
1.821346307403865383e+00 -4.932592243198509474e-02
1.761301923643298739e+00 -4.515492991324457361e-02
1.705090160122767706e+00 -4.044991925824491935e-02
1.652355412902476006e+00 -3.529315804145521929e-02
1.602784750515401813e+00 -2.980793613552240248e-02
1.556101699529516047e+00 -2.412506017610916223e-02
1.512061085391888549e+00 -1.825868372234141362e-02
1.470444725243487794e+00 -1.194908326279963372e-02
1.431057812960180087e+00 -4.599199220315763892e-03
1.393725870013392765e+00 4.704464376683203074e-03
1.358292161453730218e+00 1.713095005223193301e-02
1.324615496293720440e+00 3.398714639380152891e-02
1.292568347189840150e+00 5.664734878331236650e-02
1.262035236626300572e+00 8.668324684700152993e-02
1.232911346550308984e+00 1.261430731002060046e-01
1.205101316176993897e+00 1.778729696448695941e-01
1.178518198908383718e+00 2.458944700111575232e-01
1.153082554327627074e+00 3.359180909032921658e-01
1.128721655292536319e+00 4.560872487666468023e-01
1.105368793458897825e+00 6.180851248377786655e-01
1.082962669267163447e+00 8.387989142418791344e-01
1.061446854645961446e+00 1.142857305008232016e+00
1.040769318516494568e+00 1.566541483947359259e+00
1.020882006697708011e+00 2.163893633994559362e+00
1.001740469072126105e+00 3.016342166311983597e+00
9.833035279235594617e-01 4.248104103627303729e+00
9.655329822381938376e-01 6.051112800671236691e+00
9.483933435002376289e-01 8.725833989152762982e+00
9.318515991368613305e-01 1.274917167379816973e+01
9.158770002945152422e-01 1.888894920286936596e+01
9.004408710760685164e-01 2.839949877639796938e+01
8.855164367488407295e-01 4.336124931092783896e+01
8.710786687583704779e-01 6.727943488227646185e+01
8.571041446606425529e-01 1.061555022437071756e+02
8.435709213238956616e-01 1.704381611011370978e+02
8.304584199561667601e-01 2.786346396147634437e+02
8.177473216915315257e-01 4.641099983577385615e+02
