# R  g_LO
3.270989286766126103e+00 -5.066707231803282280e-02
3.082278366375772904e+00 -5.395314264596848264e-02
2.914154091846184791e+00 -5.658360260591038804e-02
2.763421983647244229e+00 -5.849330962497662628e-02
2.627515984451477937e+00 -5.988693105247302334e-02
2.504351172680315152e+00 -6.095464485497024271e-02
2.392216045545375813e+00 -6.166203832256860612e-02
2.289692500736288494e+00 -6.184485967810601781e-02
2.195595548651235074e+00 -6.136347475599297774e-02
2.108927303309739099e+00 -6.018395463385824151e-02
2.028841456348609906e+00 -5.835748241051432611e-02
1.954615549409026487e+00 -5.593790367345528869e-02
1.885629118253413949e+00 -5.293701897578981935e-02
1.821346307403865383e+00 -4.934736194869668302e-02
1.761301923643298739e+00 -4.517882055116641260e-02
1.705090160122767706e+00 -4.047521595015303453e-02
1.652355412902476006e+00 -3.531791348874083192e-02
1.602784750515401813e+00 -2.982969011855304137e-02
1.556101699529516047e+00 -2.414209134393918363e-02
1.512061085391888549e+00 -1.827274481889838709e-02
1.470444725243487794e+00 -1.196751526542586333e-02
1.431057812960180087e+00 -4.634842850056137588e-03
1.393725870013392765e+00 4.634036426340976643e-03
1.358292161453730218e+00 1.700494359357336213e-02
1.324615496293720440e+00 3.378384077323299400e-02
1.292568347189840150e+00 5.634328600448311464e-02
1.262035236626300572e+00 8.624815707511139518e-02
1.232911346550308984e+00 1.255333854474106337e-01
1.205101316176993897e+00 1.770237778368685400e-01
1.178518198908383718e+00 2.447089947598151682e-01
1.153082554327627074e+00 3.342536334622786542e-01
1.128721655292536319e+00 4.537303331608413259e-01
1.105368793458897825e+00 6.147118448824043790e-01
1.082962669267163447e+00 8.339336576413010071e-01
1.061446854645961446e+00 1.135768792530310156e+00
1.040769318516494568e+00 1.556134018922117335e+00
1.020882006697708011e+00 2.148441268658606518e+00
1.001740469072126105e+00 2.993152902682599148e+00
9.833035279235594617e-01 4.212959009964182933e+00
9.655329822381938376e-01 5.997289604509909111e+00
9.483933435002376289e-01 8.642461675117973030e+00
9.318515991368613305e-01 1.261851645493427299e+01
9.158770002945152422e-01 1.868111550095166251e+01
9.004408710760685164e-01 2.806588647891782884e+01
8.855164367488407295e-01 4.281620493558184393e+01
8.710786687583704779e-01 6.637429879758970230e+01
8.571041446606425529e-01 1.046285686826948194e+02
8.435709213238956616e-01 1.678248909052639419e+02
8.304584199561667601e-01 2.740708350417415318e+02
8.177473216915315257e-01 4.560131271373720097e+02
