# R  g_LO  g_NLO
3.270989286766126103e+00 -5.050263796516050313e-02 6.125103300971693754e-01
3.082278366375772904e+00 -5.382370147571106933e-02 4.935623361562815337e-01
2.914154091846184791e+00 -5.651743626537672482e-02 2.678365751906198744e-01
2.763421983647244229e+00 -5.847345476901703171e-02 9.682492820417573642e-02
2.627515984451477937e+00 -5.988090284593140800e-02 3.364543688419228962e-02
2.504351172680315152e+00 -6.094500639607251108e-02 3.663507871876804656e-02
2.392216045545375813e+00 -6.165201524713979225e-02 3.936943014599131319e-02
2.289692500736288494e+00 -6.184449503900161377e-02 1.594388772046072614e-02
2.195595548651235074e+00 -6.137924253081291498e-02 -2.563327453034594874e-02
2.108927303309739099e+00 -6.021499024054973587e-02 -6.589797256621847399e-02
2.028841456348609906e+00 -5.839881304521991195e-02 -9.348896690756612615e-02
1.954615549409026487e+00 -5.598556020557951540e-02 -1.099222729500256290e-01
1.885629118253413949e+00 -5.299038117186787022e-02 -1.231161875649154080e-01
1.821346307403865383e+00 -4.940621799365815803e-02 -1.358819305765435470e-01
1.761301923643298739e+00 -4.524192071498284867e-02 -1.474779492209152831e-01
1.705090160122767706e+00 -4.054107208649287974e-02 -1.549480241728044549e-01
1.652355412902476006e+00 -3.538212830303479051e-02 -1.554863032121513444e-01
1.602784750515401813e+00 -2.988957463647739024e-02 -1.480601932760195472e-01
1.556101699529516047e+00 -2.419409051442086497e-02 -1.367636526394076790e-01
1.512061085391888549e+00 -1.832212506302316468e-02 -1.422687513698046857e-01
1.470444725243487794e+00 -1.202816723254994911e-02 -2.131493773361647914e-01
1.431057812960180087e+00 -4.729744874915640940e-03 -4.414656014561329500e-01
1.393725870013392765e+00 4.482683198923984383e-03 -1.011239905169155184e+00
1.358292161453730218e+00 1.677246086228413938e-02 -2.269271312463103651e+00
1.324615496293720440e+00 3.345326020209592188e-02 -4.667280705534773588e+00
1.292568347189840150e+00 5.588222760724514959e-02 -8.459150623585022899e+00
1.262035236626300572e+00 8.562702787369913526e-02 -1.380555043843852125e+01
1.232911346550308984e+00 1.246553705630403103e-01 -2.199312692843639638e+01
1.205101316176993897e+00 1.758781389808580509e-01 -3.217653800759802607e+01
1.178518198908383718e+00 2.431116283704311820e-01 -4.840991794920554980e+01
1.153082554327627074e+00 3.320753008331801537e-01 -7.049487469976357090e+01
1.128721655292536319e+00 4.506995452924297263e-01 -1.041785941694222117e+02
1.105368793458897825e+00 6.105285406013577498e-01 -1.527778259977005462e+02
1.082962669267163447e+00 8.278294913746008232e-01 -2.274910657060109145e+02
1.061446854645961446e+00 1.126051964596839872e+00 -3.565548004692406607e+02
1.040769318516494568e+00 1.541246728237726238e+00 -5.408212955176775267e+02
1.020882006697708011e+00 2.126806172526332528e+00 -8.210443331194928760e+02
1.001740469072126105e+00 2.960339797869539158e+00 -1.217340179705523724e+03
9.833035279235594617e-01 4.159945650033457731e+00 -1.764012829749106913e+03
9.655329822381938376e-01 5.901644312966105588e+00 -2.795182200758525596e+03
9.483933435002376289e-01 8.485024396911688527e+00 -4.705946354228392011e+03
9.318515991368613305e-01 1.237667654511470872e+01 -7.157670657640306672e+03
9.158770002945152422e-01 1.823629168453007665e+01 -9.952141761710006904e+03
9.004408710760685164e-01 2.719050935620110110e+01 -1.493836843592023797e+04
8.855164367488407295e-01 4.120760640361221050e+01 -2.919372153080712087e+04
8.710786687583704779e-01 6.372622511415164581e+01 -5.194789876597918192e+04
8.571041446606425529e-01 9.976978889927812588e+01 -5.966604453154832299e+04
8.435709213238956616e-01 1.572619995367107606e+02 -8.405086238982087525e+04
8.304584199561667601e-01 2.526293202272137535e+02 -1.896989412470391835e+05
8.177473216915315257e-01 4.181479757673375275e+02 -4.465295444113091216e+05
