# R  g_NLO
3.270989286766126103e+00 6.059743392282204155e-01
3.082278366375772904e+00 4.638678621973696958e-01
2.914154091846184791e+00 2.546098803714560987e-01
2.763421983647244229e+00 9.393738855035896340e-02
2.627515984451477937e+00 3.321681996218413258e-02
2.504351172680315152e+00 3.336915507316199486e-02
2.392216045545375813e+00 3.537434260455027402e-02
2.289692500736288494e+00 1.466327944380420648e-02
2.195595548651235074e+00 -2.216053223744605255e-02
2.108927303309739099e+00 -5.688743249211716813e-02
2.028841456348609906e+00 -8.004231163705162466e-02
1.954615549409026487e+00 -9.337521300068619967e-02
1.885629118253413949e+00 -1.042760454736094827e-01
1.821346307403865383e+00 -1.145299288409780125e-01
1.761301923643298739e+00 -1.238827583586371850e-01
1.705090160122767706e+00 -1.300122829679551395e-01
1.652355412902476006e+00 -1.302205350518243210e-01
1.602784750515401813e+00 -1.230580689620154461e-01
1.556101699529516047e+00 -1.139939683007020615e-01
1.512061085391888549e+00 -1.177733654594564500e-01
1.470444725243487794e+00 -1.761428164107353145e-01
1.431057812960180087e+00 -3.672526660369475060e-01
1.393725870013392765e+00 -8.616214072819370351e-01
1.358292161453730218e+00 -1.966184319399360003e+00
1.324615496293720440e+00 -4.066036154672318048e+00
1.292568347189840150e+00 -7.438167920889179996e+00
1.262035236626300572e+00 -1.189831018279239672e+01
1.232911346550308984e+00 -1.820141789420407008e+01
1.205101316176993897e+00 -2.809457240908838216e+01
1.178518198908383718e+00 -4.109012718157300981e+01
1.153082554327627074e+00 -6.265083788611301685e+01
1.128721655292536319e+00 -8.796684805949895747e+01
1.105368793458897825e+00 -1.328608968145398421e+02
1.082962669267163447e+00 -1.988484017556793049e+02
1.061446854645961446e+00 -2.969920702334669613e+02
1.040769318516494568e+00 -4.555144730362670771e+02
1.020882006697708011e+00 -6.933858249064402344e+02
1.001740469072126105e+00 -1.053245161914699565e+03
9.833035279235594617e-01 -1.617461914860904926e+03
9.655329822381938376e-01 -2.498295033451813197e+03
9.483933435002376289e-01 -3.971060757082876989e+03
9.318515991368613305e-01 -6.268209119189376906e+03
9.158770002945152422e-01 -9.971307306927188620e+03
9.004408710760685164e-01 -1.698219058358730399e+04
8.855164367488407295e-01 -2.651533538524241521e+04
8.710786687583704779e-01 -4.560018920240287116e+04
8.571041446606425529e-01 -7.743893246943767008e+04
8.435709213238956616e-01 -1.362286175759899488e+05
8.304584199561667601e-01 -2.287393132407161756e+05
8.177473216915315257e-01 -4.282827003902815632e+05
