# R  g_LO  g_NLO
3.270989286766126103e+00 -5.066760389873210119e-02 1.124744456567517981e-01
3.082278366375772904e+00 -5.395377174944750859e-02 1.152282012832733238e-01
2.914154091846184791e+00 -5.658436691236306409e-02 7.511149429301308689e-02
2.763421983647244229e+00 -5.849418489228112861e-02 2.993853360365412650e-02
2.627515984451477937e+00 -5.988785175149922285e-02 9.979903738028676405e-03
2.504351172680315152e+00 -6.095557906541380910e-02 1.094171098250959831e-02
2.392216045545375813e+00 -6.166300087956536752e-02 1.432570456544721149e-02
2.289692500736288494e+00 -6.184587933623482414e-02 1.037625881914335836e-02
2.195595548651235074e+00 -6.136456662173668530e-02 -2.030992868204719562e-04
2.108927303309739099e+00 -6.018511096805183314e-02 -1.177518804868675321e-02
2.028841456348609906e+00 -5.835868414617614852e-02 -2.006808448591973840e-02
1.954615549409026487e+00 -5.593913713090677142e-02 -2.510318338927729556e-02
1.885629118253413949e+00 -5.293827944120937240e-02 -2.865954822958914280e-02
1.821346307403865383e+00 -4.934864673035526533e-02 -3.210173722557590342e-02
1.761301923643298739e+00 -4.518012304218738118e-02 -3.504103200101219007e-02
1.705090160122767706e+00 -4.047652394347096838e-02 -3.693038921833728672e-02
1.652355412902476006e+00 -3.531920900917832895e-02 -3.673251434263465759e-02
1.602784750515401813e+00 -2.983095074443644149e-02 -3.388985526138808130e-02
1.556101699529516047e+00 -2.414330187474131653e-02 -2.944128675080345120e-02
1.512061085391888549e+00 -1.827392165351979583e-02 -2.819905070066435274e-02
1.470444725243487794e+00 -1.196872351962048435e-02 -4.251190266461337547e-02
1.431057812960180087e+00 -4.636195048470118617e-03 -9.890613376068468909e-02
1.393725870013392765e+00 4.632388584089430772e-03 -2.560992598403168397e-01
1.358292161453730218e+00 1.700282393123681013e-02 -6.294490688687232050e-01
1.324615496293720440e+00 3.378106729471581221e-02 -1.379834227974241490e+00
1.292568347189840150e+00 5.633966538121892853e-02 -2.590820371410266887e+00
1.262035236626300572e+00 8.624344498143320104e-02 -4.326483545390794383e+00
1.232911346550308984e+00 1.255272330521239044e-01 -6.814875036244345985e+00
1.205101316176993897e+00 1.770156717102320254e-01 -1.033699972997109739e+01
1.178518198908383718e+00 2.446981783653044140e-01 -1.553474280187528755e+01
1.153082554327627074e+00 3.342389919891408656e-01 -2.294585219623591144e+01
1.128721655292536319e+00 4.537102227462475046e-01 -3.451945857622408909e+01
1.105368793458897825e+00 6.146838293656777807e-01 -5.168377273558479601e+01
1.082962669267163447e+00 8.338940998912911517e-01 -7.680207081548228132e+01
1.061446854645961446e+00 1.135712223441431634e+00 -1.154378764993681727e+02
1.040769318516494568e+00 1.556052129179170462e+00 -1.759241742540681344e+02
1.020882006697708011e+00 2.148321304515335317e+00 -2.669508545383752676e+02
1.001740469072126105e+00 2.992975067634743080e+00 -4.083604903448473920e+02
9.833035279235594617e-01 4.212692225736606844e+00 -6.302001505136786363e+02
9.655329822381938376e-01 5.996884403133067032e+00 -9.789831589185197345e+02
9.483933435002376289e-01 8.641838421422146865e+00 -1.531176859328204500e+03
9.318515991368613305e-01 1.261754525092763934e+01 -2.448430729586715643e+03
9.158770002945152422e-01 1.867958124830851929e+01 -3.902128873900124290e+03
9.004408710760685164e-01 2.806342808684975410e+01 -6.387970835868441100e+03
8.855164367488407295e-01 4.281220748640821938e+01 -1.046750439090904365e+04
8.710786687583704779e-01 6.636769916887618592e+01 -1.745268169125000713e+04
8.571041446606425529e-01 1.046174976899413593e+02 -2.972735021080248043e+04
8.435709213238956616e-01 1.678060078188008504e+02 -5.140477891979726701e+04
8.304584199561667601e-01 2.740380762693264387e+02 -9.008256747225421714e+04
8.177473216915315257e-01 4.559552784403448982e+02 -1.591213233999900694e+05
