# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
3.270989286766126103e+00 -4.644236206234991782e-02 -3.765735507892668116e-02 -2.744515551510462448e-02 -1.695808463593625678e-02 -7.403738639920793424e-03 -1.394023007030449884e-03 -1.202531000518308496e-04
3.082278366375772904e+00 -4.937361584819163762e-02 -3.978868643862715909e-02 -2.864986143447617595e-02 -1.728483842112681773e-02 -7.161360600049971811e-03 -1.438399357016992286e-03 -1.202531000518193571e-04
2.914154091846184791e+00 -5.166939406939408119e-02 -4.133838090536601229e-02 -2.933829444325089519e-02 -1.719950597033439652e-02 -6.728009492964245018e-03 -1.495984485494843879e-03 -1.202531000518368670e-04
2.763421983647244229e+00 -5.329311483422669721e-02 -4.228893363502975178e-02 -2.951572116150891212e-02 -1.674212362050763944e-02 -6.214812761660567196e-03 -1.538342657825610442e-03 -1.202531000518113476e-04
2.627515984451477937e+00 -5.447235852273928786e-02 -4.286483392677287174e-02 -2.940123187829957879e-02 -1.613057875157333093e-02 -5.829658274508159842e-03 -1.554411342343030777e-03 -1.202531000518230840e-04
2.504351172680315152e+00 -5.540539097581442113e-02 -4.326014182826420917e-02 -2.918273679792647221e-02 -1.554942545507753855e-02 -5.680319520987936466e-03 -1.554266649874807074e-03 -1.202531000518368941e-04
2.392216045545375813e+00 -5.607026970330906274e-02 -4.346828454313853007e-02 -2.887445116458178807e-02 -1.504436446411281172e-02 -5.726215478552232341e-03 -1.553793374062012195e-03 -1.202531000517930516e-04
2.289692500736288494e+00 -5.633411219820878835e-02 -4.338570488595413360e-02 -2.841550439386096583e-02 -1.461146732976167581e-02 -5.871923195057512056e-03 -1.559658090915542030e-03 -1.202531000518506228e-04
2.195595548651235074e+00 -5.610705914406172168e-02 -4.294983846073192196e-02 -2.779098589523398832e-02 -1.428052255231358411e-02 -6.030072458318504712e-03 -1.569510935284934875e-03 -1.202531000518258894e-04
2.108927303309739099e+00 -5.542092469591464177e-02 -4.220247558532779636e-02 -2.708082007309566344e-02 -1.411392829078973211e-02 -6.148338014571259717e-03 -1.578624261852105580e-03 -1.202531000518451069e-04
