# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
3.270989286766126103e+00 -4.639773630861213777e-02 -3.761608382954758495e-02 -2.740820197359256083e-02 -1.692673415790800495e-02 -7.380687673188627597e-03 -1.387321314203817215e-03 -1.189703557623746592e-04
3.082278366375772904e+00 -4.932293264443659425e-02 -3.974201452193404371e-02 -2.860835331541757356e-02 -1.725010699037688583e-02 -7.137037308648868338e-03 -1.432359089938036205e-03 -1.190293344462582057e-04
2.914154091846184791e+00 -5.163201082458099278e-02 -4.130413229502014755e-02 -2.930808462063837563e-02 -1.717467940931467762e-02 -6.711826388667367117e-03 -1.492130310344104730e-03 -1.195060015214264215e-04
2.763421983647244229e+00 -5.327542813482419315e-02 -4.227282268359785350e-02 -2.950164428311976769e-02 -1.673081932353020357e-02 -6.208171266496764935e-03 -1.536571713507132314e-03 -1.199393236338549900e-04
2.627515984451477937e+00 -5.446439973655935879e-02 -4.285762420405910683e-02 -2.939499206407043125e-02 -1.612570389608602994e-02 -5.827140261077195203e-03 -1.553576195372930379e-03 -1.201151257189942133e-04
2.504351172680315152e+00 -5.539667842896028871e-02 -4.325231161563018734e-02 -2.917605585120853010e-02 -1.554440344196241289e-02 -5.678033257561900492e-03 -1.553335734672313092e-03 -1.201028496187583325e-04
2.392216045545375813e+00 -5.605931556861212806e-02 -4.345852994823415361e-02 -2.886627358682009037e-02 -1.503851201881549124e-02 -5.723745265819873626e-03 -1.552659435799694145e-03 -1.200689892975586172e-04
2.289692500736288494e+00 -5.632508270362111130e-02 -4.337773545859227586e-02 -2.840894931049321379e-02 -1.460703892392955540e-02 -5.870034768982255145e-03 -1.558766063308331508e-03 -1.201070564564106664e-04
2.195595548651235074e+00 -5.610429511866606156e-02 -4.294740111249496090e-02 -2.778899656260479939e-02 -1.427923879841368725e-02 -6.029460154895183860e-03 -1.569227332592802986e-03 -1.202065317916814176e-04
2.108927303309739099e+00 -5.542548615124517908e-02 -4.220635972788259332e-02 -2.708375245261865696e-02 -1.411560097500342767e-02 -6.149201217832970384e-03 -1.578990129802202141e-03 -1.203114632592957049e-04
2.028841456348609906e+00 -5.442128666124335795e-02 -4.127055567807808717e-02 -2.643179920602022406e-02 -1.414544468946066572e-02 -6.223065297022340597e-03 -1.585483071850680731e-03 -1.203856714408097785e-04
1.954615549409026487e+00 -5.326262075742971280e-02 -4.026079252346539267e-02 -2.595777441594055227e-02 -1.432333200974320736e-02 -6.274080039507557403e-03 -1.589337739323457618e-03 -1.204312494439006202e-04
1.885629118253413949e+00 -5.213584824200365175e-02 -3.926695067812369794e-02 -2.571870824046479723e-02 -1.455760453888606774e-02 -6.321357717681264782e-03 -1.592187787974208568e-03 -1.204630661138249607e-04
1.821346307403865383e+00 -5.127799033301071174e-02 -3.837068594580157754e-02 -2.568396799201704689e-02 -1.476801708587673068e-02 -6.367192150473016676e-03 -1.594849637506078706e-03 -1.204921747073681718e-04
1.761301923643298739e+00 -5.099004255096072774e-02 -3.769208262510848062e-02 -2.573844119580898787e-02 -1.491398575149728567e-02 -6.404672826817053334e-03 -1.597124871011683031e-03 -1.205163668273201433e-04
1.705090160122767706e+00 -5.156924463435862832e-02 -3.742931740377283129e-02 -2.574360796326960465e-02 -1.498081823097614784e-02 -6.426506208978235123e-03 -1.598439396075897016e-03 -1.205308208778439294e-04
1.652355412902476006e+00 -5.320491620142070444e-02 -3.782337806197873242e-02 -2.568455459841510052e-02 -1.495989509515134770e-02 -6.426693702873065121e-03 -1.598145091827132304e-03 -1.205270189133377402e-04
1.602784750515401813e+00 -5.594605376014579606e-02 -3.903638852144763333e-02 -2.578063596157604415e-02 -1.487832565907040369e-02 -6.402660917825492813e-03 -1.595719124133196127e-03 -1.204990977468705743e-04
1.556101699529516047e+00 -5.974456893569698307e-02 -4.109617736373264579e-02 -2.634277958824866178e-02 -1.486184211681590255e-02 -6.368891234853506222e-03 -1.591729847161968458e-03 -1.204512590773475770e-04
1.512061085391888549e+00 -6.449512640252914875e-02 -4.393478641950297053e-02 -2.752167305249282256e-02 -1.509010422928438490e-02 -6.369895796804983523e-03 -1.589553884580167421e-03 -1.204191558114361412e-04
1.470444725243487794e+00 -7.005232302674001266e-02 -4.742174789333725854e-02 -2.925987300568041669e-02 -1.564472473078724196e-02 -6.454121195322077252e-03 -1.594552082953799594e-03 -1.204673312686281399e-04
1.431057812960180087e+00 -7.625069587329470766e-02 -5.138807719166114257e-02 -3.139312034127211132e-02 -1.646655717202860983e-02 -6.629101274660569552e-03 -1.609233489856063759e-03 -1.206310054706520254e-04
1.393725870013392765e+00 -8.292667596518206452e-02 -5.565178839067404237e-02 -3.373241570997478206e-02 -1.742709406007172945e-02 -6.858413552915998412e-03 -1.630413108353865638e-03 -1.208735951793150052e-04
1.358292161453730218e+00 -8.994229070368418844e-02 -6.004774906309750387e-02 -3.610902800880867042e-02 -1.839901651409934016e-02 -7.093145492078633402e-03 -1.652252866833168934e-03 -1.211223725112268990e-04
1.324615496293720440e+00 -9.721489599907258417e-02 -6.446689128950811032e-02 -3.841326553236527885e-02 -1.930134865883241166e-02 -7.301529505920157509e-03 -1.670912048189516922e-03 -1.213298527711722841e-04
1.292568347189840150e+00 -1.047252159568623220e-01 -6.887344110775613093e-02 -4.060907434256269544e-02 -2.011079732880263413e-02 -7.476277884349814655e-03 -1.685743234396972932e-03 -1.214901974250294400e-04
1.262035236626300572e+00 -1.124866920754674093e-01 -7.327637726341811042e-02 -4.270595158052561263e-02 -2.083778747884414140e-02 -7.623067922172262027e-03 -1.697594566360475414e-03 -1.216157916078099626e-04
1.232911346550308984e+00 -1.205093886190180680e-01 -7.768958968606769211e-02 -4.472188536226364558e-02 -2.149892451459355786e-02 -7.749100381538114556e-03 -1.707360262566139184e-03 -1.217173073389761143e-04
