# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
3.270989286766126103e+00 -6.089231695842833858e-02 -4.897723908281254729e-02 -3.579197876330121597e-02 -2.149534385497029257e-02 -9.251159481013534677e-03 -1.563265920718272554e-03 -1.202194097190392496e-04
3.082278366375772904e+00 -6.212336667996162104e-02 -4.993638275531082915e-02 -3.527500135020877892e-02 -2.113394959219507679e-02 -8.546366337034247418e-03 -1.563265920717565004e-03 -1.202194097189634639e-04
2.914154091846184791e+00 -5.909968388309014969e-02 -4.719580600400295756e-02 -3.308128618473786531e-02 -1.936695466825946732e-02 -7.435980093585412877e-03 -1.563265920718289034e-03 -1.202194097190228375e-04
2.763421983647244229e+00 -5.613145649486486755e-02 -4.447893456530645911e-02 -3.094049059110056191e-02 -1.752087805927901934e-02 -6.447218648407710556e-03 -1.563265920718165218e-03 -1.202194097190317822e-04
2.627515984451477937e+00 -5.548495489460687075e-02 -4.364135353793935357e-02 -2.991819096119885391e-02 -1.639523806171269346e-02 -5.901842068567041827e-03 -1.563265920718278626e-03 -1.202194097190257784e-04
2.504351172680315152e+00 -5.653398227507535484e-02 -4.411909688583345868e-02 -2.974582128622516378e-02 -1.579697775492109810e-02 -5.743182906731215606e-03 -1.563265920718315055e-03 -1.202194097190246129e-04
2.392216045545375813e+00 -5.728941219110939703e-02 -4.439874578681075185e-02 -2.945944792858479211e-02 -1.529128883891312136e-02 -5.790810277538136971e-03 -1.563265920718287516e-03 -1.202194097190184872e-04
2.289692500736288494e+00 -5.681767836743164407e-02 -4.376087279587372036e-02 -2.864214642869489236e-02 -1.470620735440713103e-02 -5.897689463456023788e-03 -1.563265920718272988e-03 -1.202194097190357666e-04
2.195595548651235074e+00 -5.535760516304144563e-02 -4.235686998382251489e-02 -2.743921872139219731e-02 -1.413446159232953012e-02 -5.986895717712052006e-03 -1.563265920718206851e-03 -1.202194097190668290e-04
2.108927303309739099e+00 -5.361069385587406005e-02 -4.073469350911071429e-02 -2.622934214445240067e-02 -1.376205621777949056e-02 -6.037665810703932157e-03 -1.563265920718256291e-03 -1.202194097190391683e-04
2.028841456348609906e+00 -5.210293245093734760e-02 -3.929024915005540491e-02 -2.529249172330120740e-02 -1.367412040896510105e-02 -6.066475716288557973e-03 -1.563265920718268217e-03 -1.202194097190475980e-04
1.954615549409026487e+00 -5.091696332834019095e-02 -3.810507077408569615e-02 -2.470770788668777071e-02 -1.378912904120709049e-02 -6.092521579539619467e-03 -1.563265920718221163e-03 -1.202194097190267542e-04
1.885629118253413949e+00 -4.998489847713345063e-02 -3.708789956297473683e-02 -2.441181468427590373e-02 -1.397017418643664230e-02 -6.123966379678942584e-03 -1.563265920717414083e-03 -1.202194097190090140e-04
1.821346307403865383e+00 -4.947969649768630546e-02 -3.629140224002430637e-02 -2.434027790881745923e-02 -1.412443002279329188e-02 -6.154254357132983404e-03 -1.563265920718251737e-03 -1.202194097190063983e-04
1.761301923643298739e+00 -4.961811990762244468e-02 -3.590345404269140034e-02 -2.437347914215503425e-02 -1.422331492304771371e-02 -6.178017168998685762e-03 -1.563265920718285781e-03 -1.202194097189815159e-04
1.705090160122767706e+00 -5.058487025616901361e-02 -3.609704757798345293e-02 -2.444481158859668907e-02 -1.427501446114627301e-02 -6.193120717064575127e-03 -1.563265920718351484e-03 -1.202194097190141233e-04
1.652355412902476006e+00 -5.251277089715630786e-02 -3.695930267231195554e-02 -2.461015359463869859e-02 -1.429182642580120732e-02 -6.199215003340352408e-03 -1.563265920718278626e-03 -1.202194097190411063e-04
1.602784750515401813e+00 -5.545368572694913539e-02 -3.851258515783950037e-02 -2.503367543732103531e-02 -1.431650030223453364e-02 -6.194246071297302737e-03 -1.563265920718369699e-03 -1.202194097190479368e-04
1.556101699529516047e+00 -5.937356752761869388e-02 -4.075937461645891269e-02 -2.587234654110566467e-02 -1.444867018939706253e-02 -6.196191271851650764e-03 -1.563265920718355387e-03 -1.202194097190182703e-04
1.512061085391888549e+00 -6.415829737864181537e-02 -4.366232078140996897e-02 -2.718510783693631888e-02 -1.477457081812377782e-02 -6.221277499610080620e-03 -1.563265920718335871e-03 -1.202194097190281637e-04
1.470444725243487794e+00 -6.958876631079435882e-02 -4.707567327354842540e-02 -2.889169077419185064e-02 -1.531286152089346778e-02 -6.287144139427279337e-03 -1.563265920718325680e-03 -1.202194097190010044e-04
1.431057812960180087e+00 -7.535014302017620236e-02 -5.074652763603459960e-02 -3.079833624770435263e-02 -1.598279916581838572e-02 -6.387775090308937462e-03 -1.563265920718326547e-03 -1.202194097190324869e-04
1.393725870013392765e+00 -8.098516207603066730e-02 -5.430880226704508373e-02 -3.259324998763309805e-02 -1.663313795664294464e-02 -6.497376453513439495e-03 -1.563265920718309851e-03 -1.202194097190179451e-04
1.358292161453730218e+00 -8.586465950952253123e-02 -5.730847047737435557e-02 -3.401411968219742593e-02 -1.708290320107392138e-02 -6.568401098577684831e-03 -1.563265920718204900e-03 -1.202194097190667206e-04
1.324615496293720440e+00 -8.951877166622346227e-02 -5.945080783913793410e-02 -3.482771002471850980e-02 -1.729876915183707273e-02 -6.603125709459656441e-03 -1.563265920718374469e-03 -1.202194097190405913e-04
1.292568347189840150e+00 -9.225073933717894969e-02 -6.092163313895040261e-02 -3.507373421922823503e-02 -1.740020389901514308e-02 -6.630270235393868200e-03 -1.563265920718399839e-03 -1.202194097190030779e-04
1.262035236626300572e+00 -9.443841195691113355e-02 -6.208553000746865058e-02 -3.533064263677604400e-02 -1.742084652318165103e-02 -6.630947540895158407e-03 -1.563265920718240028e-03 -1.202194097190067100e-04
1.232911346550308984e+00 -9.574605448872829105e-02 -6.288910897231238251e-02 -3.541673290758415305e-02 -1.763032161999786296e-02 -6.678732588867084159e-03 -1.563265920718205767e-03 -1.202194097191058739e-04
1.205101316176993897e+00 -9.726277520135946653e-02 -6.398102656115940701e-02 -3.583734233884026954e-02 -1.758174759800517489e-02 -6.666708578359575865e-03 -1.563265920718326981e-03 -1.202194097190597004e-04
1.178518198908383718e+00 -9.675530172329001311e-02 -6.402780547364549102e-02 -3.497463442550952095e-02 -1.754678346677614187e-02 -6.690955621286791277e-03 -1.563265920718412633e-03 -1.202194097190101795e-04
1.153082554327627074e+00 -9.684675107725582155e-02 -6.432651225863598998e-02 -3.530804333781119297e-02 -1.746765821330079765e-02 -6.662641524677651549e-03 -1.563265920718445593e-03 -1.202194097190202897e-04
1.128721655292536319e+00 -9.408241304678591210e-02 -6.457744283689831333e-02 -3.581959138493003014e-02 -1.745061212397199663e-02 -6.672146020885225300e-03 -1.563265920718338474e-03 -1.202194097190532901e-04
1.105368793458897825e+00 -8.970702827589041584e-02 -6.248759633701823218e-02 -3.464997684115191101e-02 -1.729888326200213280e-02 -6.654031091600829707e-03 -1.563265920718431064e-03 -1.202194097190231899e-04
1.082962669267163447e+00 -8.578781140171537478e-02 -6.223178864023450746e-02 -3.412595417835268680e-02 -1.741144860480987877e-02 -6.672460322270632772e-03 -1.563265920718156111e-03 -1.202194097190226749e-04
1.061446854645961446e+00 -7.269553484198668092e-02 -5.807485319166743459e-02 -3.216121547113656720e-02 -1.688654724285925876e-02 -6.643770009755225504e-03 -1.563265920718133559e-03 -1.202194097189957189e-04
1.040769318516494568e+00 -5.942077286524261037e-02 -5.346616476776493848e-02 -3.203074423124040171e-02 -1.713279661413814881e-02 -6.702679236194248637e-03 -1.563265920718139414e-03 -1.202194097190255480e-04
1.020882006697708011e+00 -4.621836773512977281e-02 -5.481775452247873021e-02 -3.252801434017240506e-02 -1.691868513740008018e-02 -6.660934723664067338e-03 -1.563265920718480504e-03 -1.202194097190606626e-04
1.001740469072126105e+00 -4.551558936743302364e-02 -5.235908736518343765e-02 -3.092887640164748361e-02 -1.714247273880604300e-02 -6.718148094004534367e-03 -1.563265920718181915e-03 -1.202194097190177418e-04
9.833035279235594617e-01 -3.669772454809733242e-02 -5.472679720956093175e-02 -3.244992523646600402e-02 -1.721930635364480461e-02 -6.676256203222999397e-03 -1.563265920718354303e-03 -1.202194097190317415e-04
9.655329822381938376e-01 -1.771052215423693510e-02 -4.826202870063703299e-02 -3.233991051989970611e-02 -1.741361327404572501e-02 -6.693844475983564205e-03 -1.563265920718364061e-03 -1.202194097189063536e-04
9.483933435002376289e-01 9.468699310378053680e-03 -3.776961021959988896e-02 -2.939986522725260981e-02 -1.671821690122431842e-02 -6.675865016022402600e-03 -1.563265920718288167e-03 -1.202194097190876864e-04
9.318515991368613305e-01 1.496740421171136037e-02 -3.789724352895419701e-02 -2.777315160257129434e-02 -1.679953095021625986e-02 -6.686191760335025158e-03 -1.563265920718254990e-03 -1.202194097189730455e-04
9.158770002945152422e-01 6.699940918939301104e-03 -4.011136537083444253e-02 -2.911719695488180354e-02 -1.682368637282548665e-02 -6.704406342776559301e-03 -1.563265920718327198e-03 -1.202194097189781006e-04
9.004408710760685164e-01 -1.121850007245592251e-02 -4.716199900804970979e-02 -2.970196112168158042e-02 -1.756640919120263863e-02 -6.727889306286956653e-03 -1.563265920718337173e-03 -1.202194097189911653e-04
8.855164367488407295e-01 5.341676639232817436e-02 -3.198404868238576004e-02 -2.636913933309503050e-02 -1.669394618170157857e-02 -6.639530630343155534e-03 -1.563265920718374469e-03 -1.202194097190028476e-04
8.710786687583704779e-01 1.102720222597606825e-01 -2.594381238342988172e-02 -2.740179279974094134e-02 -1.673773529365535362e-02 -6.610428588740560434e-03 -1.563265920718843061e-03 -1.202194097189019625e-04
8.571041446606425529e-01 4.244317480557113775e-02 -3.939524413577916162e-02 -2.896067664019847526e-02 -1.641479463223633611e-02 -6.669537363669765864e-03 -1.563265920718540786e-03 -1.202194097189706467e-04
8.435709213238956616e-01 5.265735515212865980e-03 -4.247255211765348093e-02 -3.017990908971262404e-02 -1.696256118144198743e-02 -6.704583449369196438e-03 -1.563265920719105005e-03 -1.202194097190354956e-04
8.304584199561667601e-01 5.786101664725279425e-02 -3.712049465261003933e-02 -3.016296918998604554e-02 -1.641107893765132719e-02 -6.562411126226425778e-03 -1.563265920717817189e-03 -1.202194097186463754e-04
