# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
3.270989286766126103e+00 -6.105800845216596828e-02 -4.851276953237001338e-02 -3.456222100391498353e-02 -2.115328882624559897e-02 -8.925112207259697922e-03 -1.563640345169043776e-03 -1.202531000518308496e-04
3.082278366375772904e+00 -6.173611799380246401e-02 -4.887123594310611996e-02 -3.458761409513742835e-02 -2.055773804429672849e-02 -8.330049461659971496e-03 -1.563640345169043993e-03 -1.202531000518193571e-04
2.914154091846184791e+00 -5.898006989055945559e-02 -4.666010677005096030e-02 -3.277236655552377698e-02 -1.899857736648563611e-02 -7.340063085087319972e-03 -1.563640345169043993e-03 -1.202531000518368670e-04
2.763421983647244229e+00 -5.611724376736624414e-02 -4.435247211071572521e-02 -3.081908330050632180e-02 -1.739265001715613324e-02 -6.416933813819019651e-03 -1.563640345169043993e-03 -1.202531000518113476e-04
2.627515984451477937e+00 -5.551004965123196300e-02 -4.361455026947644309e-02 -2.986712702901225466e-02 -1.635367096074297200e-02 -5.892921709882586491e-03 -1.563640345169043993e-03 -1.202531000518230840e-04
2.504351172680315152e+00 -5.647272957837205787e-02 -4.402965990015290931e-02 -2.965192731921725139e-02 -1.576460777146389963e-02 -5.738116052705021473e-03 -1.563640345169043993e-03 -1.202531000518368941e-04
2.392216045545375813e+00 -5.721125857553499561e-02 -4.429555613487089899e-02 -2.936787184187329355e-02 -1.526190374629911653e-02 -5.784651339211635372e-03 -1.563640345169043993e-03 -1.202531000517930516e-04
2.289692500736288494e+00 -5.680235597150107285e-02 -4.372961355271179351e-02 -2.861548847377419144e-02 -1.469699093010093383e-02 -5.895824307255038282e-03 -1.563640345169043993e-03 -1.202531000518506228e-04
2.195595548651235074e+00 -5.542108700990794334e-02 -4.243934553838944745e-02 -2.749814381154507686e-02 -1.415962731571744626e-02 -5.993733293678630246e-03 -1.563640345169044210e-03 -1.202531000518258894e-04
2.108927303309739099e+00 -5.377077709018245055e-02 -4.093059394738989692e-02 -2.636353775778774167e-02 -1.382193022816064452e-02 -6.053170568450787388e-03 -1.563640345169043993e-03 -1.202531000518451069e-04
2.028841456348609906e+00 -5.230713827592008147e-02 -3.956243541072476666e-02 -2.546916136802127723e-02 -1.375139129424584813e-02 -6.086557414337657318e-03 -1.563640345169043993e-03 -1.202531000518041105e-04
1.954615549409026487e+00 -5.111686438405856070e-02 -3.839071389369423659e-02 -2.490799938995159543e-02 -1.387517318927968847e-02 -6.115180562742400863e-03 -1.563640345169043993e-03 -1.202531000518226910e-04
1.885629118253413949e+00 -5.016908510525171228e-02 -3.736080069893976674e-02 -2.461229006095190519e-02 -1.406144818132753008e-02 -6.146473909426593447e-03 -1.563640345169043993e-03 -1.202531000518250221e-04
1.821346307403865383e+00 -4.963944064830660974e-02 -3.654901274087928031e-02 -2.453266588871451728e-02 -1.422290829431599631e-02 -6.176730327986592814e-03 -1.563640345169043993e-03 -1.202531000517799870e-04
1.761301923643298739e+00 -4.972228711782610000e-02 -3.611020037712143332e-02 -2.456980468094569978e-02 -1.432721355697337204e-02 -6.200765326899338771e-03 -1.563640345169043993e-03 -1.202531000517928755e-04
