# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
3.270989286766126103e+00 -4.962069091478306382e-02 -3.995493020847310645e-02 -2.894617176793558636e-02 -1.781112023394701427e-02 -7.696291876956367836e-03 -1.422768726598901742e-03 -1.202194097190334763e-04
3.082278366375772904e+00 -5.294164868674574448e-02 -4.233833637080262197e-02 -3.028750830920063503e-02 -1.818523480619980634e-02 -7.454748123364560511e-03 -1.467018084246261280e-03 -1.202194097191217168e-04
2.914154091846184791e+00 -5.415968849236776905e-02 -4.311414807418873646e-02 -3.046153837270432208e-02 -1.778232956689046809e-02 -6.908804566859209038e-03 -1.514624391756345684e-03 -1.202194097191403515e-04
2.763421983647244229e+00 -5.434111462323407138e-02 -4.302810971614771246e-02 -2.997240884504775299e-02 -1.696842639082202231e-02 -6.279854430257534106e-03 -1.545790144530408703e-03 -1.202194097191995218e-04
2.627515984451477937e+00 -5.483692447394790392e-02 -4.312175945684065814e-02 -2.955633332796105475e-02 -1.620308177613288131e-02 -5.849051949810612182e-03 -1.556868855036584818e-03 -1.202194097190738763e-04
2.504351172680315152e+00 -5.581479100818090289e-02 -4.354916934296824277e-02 -2.935418035440804166e-02 -1.562644178870098779e-02 -5.700157158584539564e-03 -1.557017336274014877e-03 -1.202194097191578614e-04
2.392216045545375813e+00 -5.661377838273690122e-02 -4.385404728288002513e-02 -2.909905954535901493e-02 -1.514125733475880746e-02 -5.751578102609331000e-03 -1.557433949258537655e-03 -1.202194097191787187e-04
2.289692500736288494e+00 -5.672366778561661188e-02 -4.366647591137683138e-02 -2.857504415158515498e-02 -1.467785692393269031e-02 -5.890084484694320562e-03 -1.562180822575621152e-03 -1.202194097191307834e-04
2.195595548651235074e+00 -5.610174577039273719e-02 -4.294564225619976888e-02 -2.778816040959151620e-02 -1.427902911481535378e-02 -6.029465273612391769e-03 -1.569282610853884154e-03 -1.202194097191340496e-04
2.108927303309739099e+00 -5.501754320848934593e-02 -4.189752215274599595e-02 -2.691215584663931432e-02 -1.404548999166858186e-02 -6.126310213972340109e-03 -1.575453209018413785e-03 -1.202194097189717445e-04
2.028841456348609906e+00 -5.378939283420346162e-02 -4.076902590177475250e-02 -2.615341785438731609e-02 -1.403074090293395665e-02 -6.183492626837113967e-03 -1.579359670840294353e-03 -1.202194097191960253e-04
1.954615549409026487e+00 -5.256781395729955009e-02 -3.966916670483649349e-02 -2.562781658535923102e-02 -1.418286786703025493e-02 -6.224557169371433031e-03 -1.581654299369695529e-03 -1.202194097191024993e-04
1.885629118253413949e+00 -5.148510802788428681e-02 -3.864727956157328753e-02 -2.536054149132856497e-02 -1.439766184769655441e-02 -6.265299479823690544e-03 -1.583473498192609083e-03 -1.202194097190043790e-04
